Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;note_spectator_word;nomi
A E I O U - L'alphabet rapide de l'amour;Comédie;Romance;Nicolette Krebitz;Sophie Rois;Udo Kier;Milan Herms;2,3;2.0;Nicolette Krebitz;Allemagne;Shellac;Allemand;0.0;1.0;1.0;104;21;décembre;2022;bad;9
A Human Position;Drame;;Anders Emblem;Amalie Ibsen Jensen;Maria Agwumaro;Lars Halvor Andreassen;;2.8;Anders Emblem;Norvège;;Norvégien;0.0;0.0;0.0;78;30;janvier;2023;soso;0
A Jazzman's Blues;Policier;Drame;Tyler Perry;Joshua Boone;Amirah Vann;Solea Pfeiffer;;3.5;Tyler Perry;U.S.A.;;Anglais;3.0;0.0;0.0;127;23;septembre;2022;good;0
A l'Ouest, rien de nouveau;Drame;Historique;Edward Berger;Felix Kammerer;Albrecht Schuch;Aaron Hilmer;;4.1;Ian Stokell;Allemagne;;Allemand;9.0;0.0;1.0;148;28;octobre;2022;excellent;24
À mon seul désir;Drame;;Lucie Borleteau;Zita Hanrot;Louise Chevillotte;Laure Giappiconi;3,0;3.4;Lucie Borleteau;France;Pyramide Distribution;Français;2.0;3.0;0.0;117;5;avril;2023;good;0
A propos de Joan;Drame;Romance;Laurent Larivière;Isabelle Huppert;Lars Eidinger;Freya Mavor;2,9;2.9;Laurent Larivière;France;Haut et Court;Français;11.0;19.0;0.0;101;14;septembre;2022;soso;2
À travers ma fenêtre;Drame;Romance;Marçal Forès;Julio Peña (III);Clara Galle;Pilar Castro;;2.3;Marçal Forès;Espagne;;Espagnol;1.0;0.0;0.0;113;4;février;2022;soso;0
Aboubakar et moi (Chronique d'un confinement);Drame;Romance;Rémi Lange;Aboubakar Soumahoro;Rémi Lange;Harouna Diarra;;2.9;Rémi Lange;France;;Français;0.0;0.0;0.0;87;29;juin;2022;soso;0
About Fate;Comédie;Romance;Marius Balchunas;Emma Roberts;Thomas Mann (II);Madelaine Petsch;;2.8;Tiffany Paulsen;U.S.A.;;Anglais;0.0;3.0;0.0;100;16;décembre;2022;soso;0
About Kim Sohee;Policier;Drame;July Jung;Doona Bae;Kim Si-eun;Choi Hee-jin;3,8;4.1;July Jung;Corée du Sud;Arizona Distribution;Coréen;7.0;0.0;0.0;137;5;avril;2023;excellent;2
Absolument royal !;Comédie;Romance;Rick Jacobson;Laura Marano;Mena Massoud;Chelsie Preston-Crayford;;2.2;Holly Hester;U.S.A.;;Anglais;1.0;0.0;0.0;96;20;janvier;2022;soso;0
Acharya;Action;Drame;Koratala Siva;Chiranjeevi Siva Sankara Vara Prasad Konidela;Ram Charan;Pooja Hegde;;2.9;Koratala Siva;Inde;Desi Entertainment Paris;Autre;0.0;0.0;0.0;136;29;avril;2022;soso;0
Adade Sundara;Comédie;;Vivek Athreya;Nani;Nazriya Nazim;;;2.8;;Inde;Friday Entertainment;Tamoul;0.0;0.0;0.0;176;15;juin;2022;soso;0
Adam à travers le temps;Action;Aventure;Shawn Levy;Ryan Reynolds;Mark Ruffalo;Jennifer Garner;3,2;3.3;Jonathan Tropper;U.S.A.;;Anglais;9.0;5.0;4.0;106;11;mars;2022;good;0
After - Chapitre 4;Drame;Romance;Castille Landon;Josephine Langford;Hero Fiennes Tiffin;Louise Lombard;;2.6;Sharon Soboil;U.S.A.;;Anglais;0.0;0.0;0.0;95;22;septembre;2022;soso;0
Aftersun;Drame;;Charlotte Wells;Paul Mescal;Frankie Corio;Celia Rowlson-Hall;4,0;3.8;Charlotte Wells;Grande-Bretagne;Condor Distribution / MUBI;Anglais;0.0;1.0;0.0;102;1;février;2023;good;19
Ah Belinda;Comédie;Fantastique;Deniz Yorulmazer;Neslihan Atagül;Serkan Çayoğlu;Necip Memili;;2.6;Hakan Bonomo;Turquie;;Turc;0.0;0.0;0.0;97;7;avril;2023;soso;0
Ailleurs si j'y suis;Comédie;;François Pirot;Jérémie Renier;Suzanne Clément;Jean-Luc Bideau;3,1;3.0;François Pirot;Belgique;UFO Distribution;Français;1.0;5.0;1.0;103;29;mars;2023;soso;0
Aime-moi !;Drame;Romance;Eyal Kantor;Yoav Keren;Gal Amitai;Mendi Barsheshet;;3.0;Didi Lubetzky;Israël;;Hebreu;0.0;0.0;0.0;88;13;avril;2023;soso;0
Aakasam;Drame;Romance;Ra Karthik;Ashok Selvan;Ritu Varma;Aparna;;2.9;;Inde;Friday Entertainment;Tamoul;0.0;0.0;0.0;146;9;novembre;2022;soso;0
All My Friends Hate Me;Comédie;Epouvante-horreur;Andrew Gaynord;Tom Stourton;Georgina Campbell;Christopher Fairbank;;3.0;Tom Stourton;Grande-Bretagne;Filmo;Anglais;0.0;0.0;0.0;93;1;janvier;2023;soso;0
Alerte rouge;Animation;Comédie;Domee Shi;Rosalie Chiang;Sandra Oh;Ava Morse;3,7;3.5;Domee Shi;U.S.A.;;Anglais;0.0;0.0;5.0;100;11;mars;2022;good;3
Alice;Drame;Thriller;Krystin Ver Linden;Keke Palmer;Common;Jonny Lee Miller;;2.7;Krystin Ver Linden;U.S.A.;;Anglais;0.0;0.0;0.0;98;26;septembre;2022;soso;1
Alitée;Epouvante-horreur;;Lori Evans Taylor;Melissa Barrera;Guy Burnet;Edie Inksetter;;1.7;Lori Evans Taylor;U.S.A.;;Anglais;0.0;0.0;0.0;91;4;mai;2023;bad;0
Alma Viva;Drame;;Cristèle Alves Meira;Lua Michel;Ana Padrão;Jacqueline Corado;3,3;3.7;Cristèle Alves Meira;Portugal;Tandem;Portugais;2.0;0.0;0.0;88;12;avril;2023;good;9
Amandla;Policier;Drame;Nerina De Jager;Lemogang Tsipa;Thabo Rametsi;Israel Matseke-Zulu;;2.2;Nerina De Jager;Afrique du Sud;;Anglais;0.0;0.0;0.0;106;21;janvier;2022;soso;0
Ambulance;Action;Thriller;Michael Bay;Jake Gyllenhaal;Yahya Abdul-Mateen II;Eiza Gonzalez;3,1;2.7;Chris Fedak;U.S.A.;Universal Pictures International France;Anglais;3.0;3.0;1.0;136;23;mars;2022;soso;0
American Girl;Drame;Thriller;Mike Barker;Mila Kunis;Chiara Aurelia;Finn Wittrock;;3.2;Jessica Knoll;U.S.A.;;Anglais;0.0;1.0;0.0;115;7;octobre;2022;good;0
Amis d'enfance;Comédie dramatique;;Sam Karmann;Isabelle Gélinas;Nicolas Briançon;Francois Vincentelli;;3.2;Catherine Wimphen;France;France 2;Français;3.0;1.0;0.0;97;5;juillet;2022;good;0
Amsterdam;Policier;Drame;David O. Russell;Christian Bale;Margot Robbie;John David Washington;2,9;2.8;David O. Russell;U.S.A.;The Walt Disney Company France;Anglais;6.0;6.0;12.0;134;1;novembre;2022;soso;1
Annie Colère;Comédie dramatique;;Blandine Lenoir;Laure Calamy;Zita Hanrot;India Hair;3,8;4.0;Blandine Lenoir;France;Diaphana Distribution;Français;5.0;2.0;3.0;120;30;novembre;2022;good;7
Aníkúlápó;Drame;Fantastique;Kunle Afolayan;Bimbo Ademoye;Dele Odule;Kunle Remi;;2.2;;Nigéria;;Anglais;0.0;0.0;0.0;142;30;septembre;2022;soso;0
Animals;Policier;Drame;Nabil Ben Yadir;Soufiane Chilah;Gianni Guettaf;Vincent Overath;2,1;3.4;Nabil Ben Yadir;Belgique;JHR Films;Français;1.0;0.0;0.0;92;15;février;2023;good;0
Ante Sundharaniki;Comédie;Romance;Vivek Athreya;Nani;Nazriya Nazim;Bhanu Prakash;;2.8;;Inde;Friday Entertainment;Autre;0.0;0.0;0.0;176;10;juin;2022;soso;0
Apaches;Drame;Historique;Romain Quirot;Alice Isaaz;Niels Schneider;Rod Paradot;2,8;3.0;Romain Quirot;Belgique;Tandem;Français;0.0;1.0;2.0;95;29;mars;2023;soso;0
Apples;Comédie;Drame;Christos Nikou;Aris Servetalis;Sofia Georgovassili;Anna Kalaitzidou;2,9;3.3;Christos Nikou;Grèce;Bodega Films;Grec;0.0;0.0;0.0;90;13;avril;2022;good;0
Après le silence;Drame;;Jérôme Cornuau;Caroline Anglade;Clovis Cornillac;Alice David;3,7;3.2;Raphaëlle Roudaut;France;France 2;Français;2.0;0.0;7.0;90;16;novembre;2022;good;0
Argentina, 1985;Drame;;Santiago Mitre;Ricardo Darín;Alejandra Flechner;Paula Ransenberg;;3.8;Mariano Llinás;Argentine;;Espagnol;3.0;1.0;0.0;140;21;octobre;2022;good;7
Ariyippu;Drame;;Mahesh Narayanan;Kunchacko Boban;Faisal Malik;Sidharth Bhardwaj;;3.0;Mahesh Narayanan;Inde;;Autre;0.0;0.0;0.0;107;20;décembre;2022;soso;0
Armageddon Time;Drame;;James Gray;Anne Hathaway;Jeremy Strong;Banks Repeta;4,4;3.7;James Gray;U.S.A.;Universal Pictures International France;Anglais;1.0;4.0;1.0;115;9;novembre;2022;good;8
Arthur, malédiction;Epouvante-horreur;;Barthélémy Grossmann;Vadim Agid;Lola Andreoni;Mathieu Berger;1,6;1.1;Luc Besson;France;Apollo Films;Français;0.0;0.0;0.0;87;29;juin;2022;bad;0
As bestas;Drame;Thriller;Rodrigo Sorogoyen;Marina Foïs;Denis Ménochet;Luis Zahera;4,2;4.1;Isabel Peña;Espagne;Le Pacte;Espagnol;3.0;1.0;1.0;137;20;juillet;2022;excellent;4
Ashkal, l'enquête de Tunis;Thriller;;Youssef Chebbi;Fatma Oussaifi;Mohamed Houcine Grayaa;Rami Harrabi;3,7;3.1;Youssef Chebbi;Tunisie;Jour2fête;Arabe;13.0;0.0;0.0;92;25;janvier;2023;good;4
Astrakan;Drame;;David Depesseville;Mirko Gianinni;Jehnny Beth;Bastien Bouillon;3,4;3.2;David Depesseville;France;New Story;Français;0.0;0.0;1.0;104;8;février;2023;good;0
Athena;Action;Drame;Romain Gavras;Dali Benssalah;Sami Slimane;Anthony Bajon;2,9;2.6;Romain Gavras;France;;Français;5.0;0.0;0.0;97;23;septembre;2022;soso;4
Au plein air;Drame;;Collyns Tafial;Collyns Tafial;Marc Adjadj;Terence Tafial;;3.5;;France;;Français;0.0;0.0;0.0;86;14;octobre;2022;good;0
Au revoir le bonheur;Comédie;;Ken Scott;François Arnaud;Antoine Bertrand;Louis Morissette;2,9;3.3;Ken Scott;Canada;Apollo Films;Français;1.0;0.0;0.0;107;11;janvier;2023;good;4
Aucun ours;Drame;;Jafar Panahi;Jafar Panahi;Naser Hashemi;Vahid Mobasheri;4,0;3.8;Jafar Panahi;Iran;ARP Sélection;Perse;9.0;9.0;0.0;107;23;novembre;2022;good;4
Avalonia, l'étrange voyage;Aventure;Animation;Don Hall;Jake Gyllenhaal;Dennis Quaid;Jaboukie Young-White;3,2;2.5;Don Hall;U.S.A.;;Anglais;1.0;3.0;1.0;102;23;décembre;2022;soso;0
Avant l’effondrement;Comédie dramatique;;Alice Zeniter;Niels Schneider;Ariane Labed;Souheila Yacoub;3,1;3.0;Alice Zeniter;France;Pyramide Distribution;Français;0.0;2.0;3.0;100;19;avril;2023;soso;0
Avant, j'étais célèbre;Comédie;Drame;Eddie Sternberg;Ed Skrein;Leo Long;Eoin Macken;;3.2;Eddie Sternberg;Grande-Bretagne;;Anglais;0.0;0.0;0.0;104;16;septembre;2022;good;0
Avatar : la voie de l'eau;Action;Aventure;James Cameron;Sam Worthington;Zoe Saldana;Sigourney Weaver;4,1;4.3;James Cameron;U.S.A.;The Walt Disney Company France;Anglais;9.0;0.0;0.0;192;14;décembre;2022;excellent;8
Avatara Purusha;Comédie;Drame;Suni;Ashika Ranganath;Saikumar;Sudharani;;2.8;Suni;Inde;;Autre;0.0;0.0;0.0;128;13;juin;2022;soso;0
Avec amour et acharnement;Drame;Romance;Claire Denis;Juliette Binoche;Vincent Lindon;Grégoire Colin;3,1;1.9;Claire Denis;France;Ad Vitam;Français;1.0;8.0;6.0;116;31;août;2022;bad;9
Avoue, Fletch;Comédie;Policier;Greg Mottola;Jon Hamm;Marcia Gay Harden;John Slattery;;2.6;Zev Borow;U.S.A.;;Anglais;1.0;6.0;2.0;98;12;janvier;2023;soso;0
Babbar;Action;Drame;Amar Hundal;Amrit Mann;Yograj Singh;;;2.8;;Inde;Friday Entertainment;Autre;0.0;0.0;0.0;125;18;mars;2022;soso;0
Babe Bhangra Paunde Ne;Comédie;Musical;Amarjit Singh;Gurpreet Bhangu;Devinder Dillon;Diljit Dosanjh;;2.6;Naresh Kathooria;Inde;Friday Entertainment;Autre;0.0;0.0;0.0;150;5;octobre;2022;soso;0
Babylon;Drame;Historique;Damien Chazelle;Brad Pitt;Margot Robbie;Diego Calva;4,0;4.2;Damien Chazelle;U.S.A.;Paramount Pictures France;Anglais;8.0;14.0;12.0;189;18;janvier;2023;excellent;11
Bachchan Pandey;Action;Comédie;Farhad Samji;Akshay Kumar;Kriti Sanon;Jacqueline Fernandez;;2.5;Farhad Samji;Inde;Desi Entertainment Paris;Hindi;0.0;0.0;0.0;150;18;mars;2022;soso;0
Badhaai Do;Comédie;Drame;Harshavardhan Kulkarni;Bhumi Pednekar;Rajkummar Rao;Seema Pahwa;;3.0;Harshavardhan Kulkarni;Inde;Friday Entertainment;Hindi;0.0;0.0;0.0;146;11;février;2022;soso;0
Bajre Da Sitta;Drame;;Jass Grewal;Ammy Virk;Guggu Gill;Tania;;3.1;Jass Grewal;Inde;Desi Entertainment Paris;Autre;0.0;0.0;0.0;150;15;juillet;2022;good;0
Baking All the Way;Romance;;Yannick Bisson;Cory Lee;Yannick Bisson;Jayne Eastwood;;3.0;Courtney McAllister;U.S.A.;;Anglais;0.0;0.0;0.0;85;6;février;2023;soso;0
Balle perdue 2;Action;Thriller;Guillaume Pierret;Alban Lenoir;Stéfi Celma;Sébastien Lalanne;3,6;3.1;Guillaume Pierret;France;;Français;0.0;1.0;0.0;98;10;novembre;2022;good;0
Bandit;Biopic;Policier;Allan Ungar;Josh Duhamel;Mel Gibson;Elisha Cuthbert;;3.1;Kraig Wenman;Canada;;Anglais;0.0;3.0;5.0;126;22;décembre;2022;good;0
Barbare;Epouvante-horreur;Thriller;Zach Cregger;Georgina Campbell;Bill Skarsgård;Justin Long;4,2;3.4;Zach Cregger;U.S.A.;;Anglais;0.0;0.0;0.0;103;26;octobre;2022;good;0
Bardo, fausse chronique de quelques vérités;Comédie;Comédie dramatique;Alejandro González Iñárritu;Daniel Giménez Cacho;Griselda Siciliani;Ximena Lamadrid;2,7;3.5;Nicolás Giacobone;Mexique;;Espagnol;13.0;1.0;0.0;160;16;décembre;2022;good;5
Base secrète;Action;Comédie;Henry Joost;Owen Wilson;Jesse Williams;Michael Peña;;2.0;Henry Joost;U.S.A.;;Anglais;0.0;1.0;0.0;104;11;février;2023;bad;0
Battle For Saipan;Action;Guerre;Brandon Slagle;Casper Van Dien;Louis Mandylor;Jeff Fahey;;1.8;Brandon Slagle;U.S.A.;;Anglais;0.0;0.0;0.0;94;19;janvier;2023;bad;0
Batman and Superman: Battle of the Super Sons;Action;Animation;Matt Peters;Jack Dylan Grazer;Jack Griffo;Troy Baker;;3.2;Jeremy Adams;U.S.A.;;Anglais;0.0;0.0;0.0;79;2;novembre;2022;good;0
Beast;Action;Drame;Baltasar Kormákur;Idris Elba;Sharlto Copley;Iyana Halley;2,7;2.4;Ryan Engle;U.S.A.;Universal Pictures International France;Anglais;2.0;4.0;0.0;93;24;août;2022;soso;0
Beast;Action;Thriller;Nelson Dilipkumar;Vijay Chandrasekar;Pooja Hegde;K. Selvaraghavan;;3.5;Nelson Dilipkumar;Inde;Night ed films;Tamoul;0.0;0.0;0.0;155;13;avril;2022;good;0
Beauty;Drame;Romance;Andrew Dosunmu;Gracie Marie Bradley;Aleyse Shannon;Niecy Nash;;1.5;Lena Waithe;U.S.A.;;Anglais;9.0;0.0;0.0;100;29;juin;2022;bad;0
Bergen;Biopic;Drame;Mehmet Binay;Farah Zeynep Abdullah;Erdal Beşikçioğlu;Tilbe Saran;;4.0;Sema Kaygusuz;Turquie;;Turc;0.0;0.0;0.0;146;14;mars;2022;good;0
Bheemla Nayak;Bollywood;Drame;Saagar K. Chandra;Pawan Kalyan;Rana Daggubati;Nithya Menen;;3.0;;Inde;Desi Entertainment Paris;Autre;0.0;0.0;0.0;150;25;février;2022;soso;0
Bien plus qu'un au revoir;Comédie;Comédie dramatique;Bruno Ascenzo;Maxi Iglesias;Stephanie Cayo;Jely Reátegui;;2.7;Bruno Ascenzo;Pérou;;Espagnol;0.0;0.0;0.0;96;18;mars;2022;soso;0
Big Gold Brick;Comédie;Drame;Brian Petsos;Emory Cohen;Andy Garcia;Oscar Isaac;;1.7;Brian Petsos;U.S.A.;;Anglais;0.0;0.0;4.0;132;10;octobre;2022;bad;0
BigBug;Comédie;Fantastique;Jean-Pierre Jeunet;Isabelle Nanty;Elsa Zylberstein;Claude Perron;2,3;2.0;Jean-Pierre Jeunet;France;Netflix France;Français;9.0;1.0;4.0;111;11;février;2022;bad;0
Black Adam;Action;Aventure;Jaume Collet-Serra;Dwayne Johnson;Aldis Hodge;Pierce Brosnan;2,1;2.9;Adam Sztykiel;U.S.A.;Warner Bros. France;Anglais;2.0;3.0;0.0;125;19;octobre;2022;soso;0
Black Crab;Action;Thriller;Adam Berg;Noomi Rapace;David Dencik;Aliette Opheim;3,5;2.4;Adam Berg;Suède;;Suédois;0.0;2.0;0.0;112;18;mars;2022;soso;0
Black is Beltza II: Ainhoa;Animation;Thriller;Fermin Muguruza;Itziar Ituño;Ariadna Gil;Antonio de la Torre;2,8;3.3;Harkaitz Cano;Espagne;Urban Distribution;Espagnol;1.0;0.0;0.0;80;16;novembre;2022;good;0
Black Panther: Wakanda Forever;Action;Aventure;Ryan Coogler;Letitia Wright;Angela Bassett;Danai Gurira;2,9;3.2;Ryan Coogler;U.S.A.;The Walt Disney Company France;Anglais;5.0;1.0;1.0;162;9;novembre;2022;good;8
Black Site;Action;Thriller;Sophia Banks;Jason Clarke;Jai Courtney;Michelle Monaghan;;1.8;Jinder Ho;U.S.A.;;Anglais;0.0;2.0;0.0;92;3;novembre;2022;bad;0
Blacklight;Action;Thriller;Mark Williams (II);Liam Neeson;Aidan Quinn;Taylor John Smith;2,3;1.9;Nick May;U.S.A.;Metropolitan FilmExport;Anglais;0.0;1.0;0.0;108;23;février;2022;bad;0
Blonde;Biopic;Drame;Andrew Dominik;Ana de Armas;Julianne Nicholson;Bobby Cannavale;3,3;2.9;Andrew Dominik;U.S.A.;;Anglais;2.0;1.0;1.0;166;28;septembre;2022;soso;14
Blue Jean;Drame;;Georgia Oakley;Rosy McEwen;Kerrie Hayes;Lucy Halliday;3,5;3.8;Georgia Oakley;Grande-Bretagne;UFO Distribution;Anglais;0.0;0.0;0.0;97;19;avril;2023;good;1
Blue's Big City Adventure;Aventure;Animation;Matt Stawski;Traci Paige Johnson;Ava Augustin;Shazdeh Kapadia;;2.0;Angela Santomero;U.S.A.;;Anglais;0.0;0.0;0.0;82;30;avril;2023;bad;0
Bob's Burgers : le film;Aventure;Animation;Loren Bouchard;H. Jon Benjamin;John Roberts;Dan Mintz;;2.8;Loren Bouchard;U.S.A.;;Anglais;0.0;0.0;0.0;102;13;juillet;2022;soso;0
Bodies Bodies Bodies;Comédie;Epouvante-horreur;Halina Reijn;Amandla Stenberg;Maria Bakalova;Rachel Sennott;;2.2;Sarah DeLappe;U.S.A.;;Anglais;0.0;0.0;4.0;94;9;janvier;2023;soso;0
Book of Love;Comédie;Romance;Analeine Cal y Mayor;Sam Claflin;Verónica Echegui;Antonia Clarke;;2.5;David Quantick;Grande-Bretagne;;Anglais;0.0;0.0;0.0;106;4;février;2022;soso;0
Bones and All;Drame;Epouvante-horreur;Luca Guadagnino;Timothée Chalamet;Taylor Russell;Mark Rylance;3,2;3.3;David Kajganich;Italie;Warner Bros. France;Anglais;19.0;8.0;0.0;130;23;novembre;2022;good;5
Borrego;Thriller;;Jesse Harris;Lucy Hale;Nicholas Gonzalez;Olivia Trujillo;;2.4;Jesse Harris;U.S.A.;;Anglais;0.0;1.0;0.0;102;17;janvier;2022;soso;0
Bowling Saturne;Drame;Thriller;Patricia Mazuy;Arieh Worthalter;Achille Reggiani;Y Lan Lucas;3,7;2.7;Patricia Mazuy;France;Paname Distribution;Français;11.0;0.0;0.0;114;26;octobre;2022;soso;0
Brahmāstra: Part One – Shiva;Aventure;Fantastique;Ayan Mukherjee;Ranbir Kapoor;Alia Bhatt;Amitabh Bachchan;;3.1;Ayan Mukherjee;Inde;Night ed films;Hindi;0.0;1.0;0.0;167;9;septembre;2022;good;0
Braquer Mussolini;Action;Comédie;Renato De Maria;Pietro Castellitto;Matilda De Angelis;Tommaso Ragno;;2.1;Renato De Maria;Italie;;Italien;1.0;0.0;0.0;90;26;octobre;2022;soso;0
Breaking;Policier;Drame;Abi Damaris Corbin;John Boyega;Nicole Beharie;Selenis Leyva;;3.0;Abi Damaris Corbin;U.S.A.;;Anglais;0.0;1.0;0.0;103;27;mai;2023;soso;0
Brian and Charles;Comédie;Drame;Jim Archer;David Earl;Chris Hayward (III);Louise Brealey;;2.6;David Earl;Grande-Bretagne;;Anglais;0.0;0.0;0.0;90;17;février;2023;soso;1
Brighton 4th;Comédie;Drame;Levan Koguashvili;Levan Tedaishvili;Giorgi Tabidze;Nadia Mikhalkova;3,6;3.6;Boris Frumin;Géorgie;ARP Sélection;Géorgien;0.0;0.0;0.0;96;12;avril;2023;good;0
Brillantes;Comédie dramatique;;Sylvie Gautier;Céline Sallette;Thomas Gioria;Camille Lellouche;2,9;2.6;Sylvie Gautier;France;Alba Films;Français;0.0;2.0;0.0;103;18;janvier;2023;soso;0
Bring It On: Cheer Or Die;Comédie;Fantastique;Karen Lam;Alexandra Beaton;Missi Pyle;Tiera Skovbye;;2.7;Rebekah McKendry;U.S.A.;;Anglais;0.0;0.0;0.0;91;1;avril;2023;soso;0
Broad Peak;Drame;;Leszek Dawid;Ireneusz Czop;Maja Ostaszewska;Piotr Glowacki;;3.0;Lukasz Ludkowski;Pologne;;Polonais;0.0;0.0;0.0;101;14;septembre;2022;soso;0
Broadway;Drame;;Christos Massalas;Elsa Lekakou;Foivos Papadopoulos;Stathis Apostolou;2,9;2.9;Christos Massalas;Grèce;Le Pacte;Grec;1.0;0.0;0.0;97;1;juin;2022;soso;0
Bromates;Comédie;;Court Crandall;Asif Ali (IV);Harvey J. Alperin;Aris Alvarado;;2.2;Court Crandall;U.S.A.;;Anglais;0.0;0.0;0.0;94;9;janvier;2023;soso;0
Bros;Comédie;Romance;Nicholas Stoller;Billy Eichner;Luke MacFarlane;TS Madison;3,2;2.7;Billy Eichner;U.S.A.;Universal Pictures International France;Anglais;0.0;0.0;0.0;116;19;octobre;2022;soso;0
BTS: Permission to dance on stage - LA;Concert;Musical;Sam Wrench;Jimin;Suga;V;;3.8;;Corée du Sud;;Coréen;0.0;0.0;0.0;130;8;septembre;2022;good;0
Buba;Comédie;Drame;Arne Feldhusen;Bjarne Mädel;Georg Friedrich;Michael Ostrowski;;2.5;Sebastian Colley;Allemagne;;Allemand;0.0;0.0;1.0;94;3;août;2022;soso;0
Bubble;Aventure;Animation;Tetsurô Araki;Gabriel Bismuth-Bienaimé;Jun Shison;Lilly Caruso;;3.6;Gen Urobuchi;Japon;;Japonais;0.0;0.0;0.0;100;28;avril;2022;good;0
Bullet Proof;Action;Thriller;James Clayton;Vinnie Jones;Lina Lecompte;James Clayton;;1.8;;Canada;;Anglais;0.0;0.0;0.0;81;13;avril;2023;bad;0
Bullet Train;Action;Thriller;David Leitch;Brad Pitt;Joey King;Aaron Taylor-Johnson;3,2;3.9;Zak Olkewicz;U.S.A.;Sony Pictures Releasing France;Anglais;0.0;14.0;3.0;127;3;août;2022;good;0
Burial;Historique;Thriller;Ben Parker (I);Tom Felton;Harriet Walter;Charlotte Vega;;3.0;Ben Parker (I);Grande-Bretagne;;Anglais;0.0;1.0;1.0;95;12;avril;2023;soso;0
Burning Days;Drame;Thriller;Emin Alper;Selahattin Paşalı;Ekin Koç;Erol Babaoğlu;3,7;3.9;Emin Alper;Turquie;Memento Distribution;Turc;2.0;0.0;0.0;128;26;avril;2023;good;6
Burning Hearts;Drame;Romance;Pippo Mezzapesa;Elodie;Francesco Patanè;Lidia Vitale;;3.4;Antonella Gaeta;Italie;;Italien;0.0;0.0;0.0;115;11;février;2023;good;2
Butterfly Vision;Drame;;Maksym Nakonechnyi;Rita Burkovska;Lyubomyr Valivots;Myroslava Vytrykhoska-Makar;3,6;3.4;Maksym Nakonechnyi;Ukraine;Nour Films;ukrainien;0.0;0.0;0.0;107;12;octobre;2022;good;8
Buzz l'éclair;Aventure;Animation;Angus MacLane;François Civil;Chris Evans;Lyna Khoudri;3,1;3.4;Angus MacLane;U.S.A.;The Walt Disney Company France;Anglais;1.0;1.0;2.0;105;22;juin;2022;good;0
Call Jane;Drame;;Phyllis Nagy;Elizabeth Banks;Sigourney Weaver;Chris Messina;;3.5;Hayley Schore;U.S.A.;;Anglais;4.0;2.0;3.0;122;8;mars;2023;good;10
Caméra Café, 20 ans déjà;Comédie;;Bruno Solo;Bruno Solo;Yvan Le Bolloc'h;Armelle;;2.7;Alexandre Aspergis;France;M6;Français;3.0;3.0;3.0;93;24;janvier;2023;soso;0
